Name	Country	Gender	Date of Birth	Time in Space (days)	Time in Space (s)	EVA Time (s)	Number of Launches	Number of EVAs	First Launch	Time dilation (s)	Age at first launch (yr)	Qualifications	Missions	Longest single trip (days)	Total distance covered (km)	EVA (hh:mm)	Type	Filename	In space as of	Twitter
CERNAN, Eugene A.	USA	Male	1934-03-14	23.59	2038575	87057	3	4	1966-06-03T13:39:33Z	0.001309	32	BSc in electrical engineering;MSc in aeronautical engineering	Gemini 9;Apollo 10;Apollo 17	12.58	3616630	24:11	astronaut	CERNAN_EA.md		
CHAFFEE, Roger B.	USA	Male	1935-02-15	0.00	0	0	0	0		0.000000	0	BSc in aeronautical engineering		0.00	0	00:00	astronaut	CHAFFEE_RB.md		
CHAMITOFF, Gregory E.	USA	Male	1962-08-06	198.75	17172200	49380	2	2	2008-05-31T21:02:12Z	0.006191	45	BSc in electrical engineering;MSc in aeronautical engineering;PhD in aeronautics and astronautics	STS-124;STS-126;STS-134	183.02	138236210	13:43	astronaut	CHAMITOFF_GE.md		Astro_Taz
CHANG-DIAZ, Franklin R.	USA	Male	1950-04-05	66.76	5768333	70260	7	3	1986-01-12T11:55Z	0.002080	35	BSc in mechanical engineering;PhD in applied plasma physics	STS-61-C;STS-34;STS-46;STS-60;STS-75;STS-91;STS-111	15.74	46435080	19:31	astronaut	CHANG-DIAZ_FR.md		
CHAPMAN, Philip K.	USA	Male	1935-03-05	0.00	0	0	0	0		0.000000	0	BSc in physics and mathematics;MSc in aeronautics and astronautics		0.00	0	00:00	astronaut	CHAPMAN_PK.md		
CHAWLA, Kalpana	USA	Female	1961-07-01	31.62	2732100	0	2	0	1997-11-19T19:46Z	0.000985	36	BSc in aeronautical engineering;MSc in aerospace engineering;PhD in aerospace engineering	STS-87;STS-107	15.93	21993405	00:00	astronaut	CHAWLA_K.md		
CHELI, Maurizio	ITA	Male	1959-05-04	15.74	1359623	0	1	0	1996-02-22T20:18Z	0.000490	36		STS-75	15.74	10944965	00:00	international	CHELI_M.md		
CHEN, Quan	CHN	Male		0.00	0	0	0	0		0.000000	0			0.00	0	00:00	taikonaut	CHEN_Q.md		
CHIAO, Leroy	USA	Male	1960-08-28	229.36	19816831	130620	4	6	1994-07-08T16:43:01Z	0.007144	33	BSc in chemical engineering	STS-65;STS-72;STS-92;Soyuz TMA-5	192.79	159525489	36:17	astronaut	CHIAO_L.md		
CHILTON, Kevin P., General	USA	Male	1954-11-03	29.43	2543073	0	3	0	1992-05-07T23:40Z	0.000917	37	BSc in engineering sciences;MSc in mechanical engineering	STS-49;STS-59;STS-76	11.24	20471737	00:00	astronaut	CHILTON_KPG.md		
CHIRKIN, Viktor Martynovich	URS	Male	1944-07-13	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	CHIRKIN_VM.md		
CHR&Eacute;TIEN, Jean-Loup Jacques Marie	FRA	Male	1938-08-20	43.47	3756060	21600	3	1	1982-06-24T16:29:48Z	0.001354	43		Soyuz T-6;Soyuz TM-7;Soyuz TM-6;STS-86	24.76	30236283	06:00	international	CHRETIEN_JJM.md		
CHUB, Nikolai Aleksandrovich	RUS	Male	1984-06-10	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	CHUB_NA.md		
CLARK, Laurel B.	USA	Female	1961-03-10	15.93	1376400	0	1	0	2003-01-16T15:39Z	0.000496	41	BSc in Zoology;Doctor of Medicine	STS-107	15.93	11080020	00:00	astronaut	CLARK_LB.md		
CLEAVE, Mary L.	USA	Female	1947-02-05	10.92	943158	0	2	0	1985-11-27T00:29:00Z	0.000340	38	BSc in biological sciences;MSc in microbial ecology;PhD in environmental engineering	STS-61-B;STS-30	6.88	7592421	00:00	astronaut	CLEAVE_ML.md		
CLERVOY, Jean-Fran&ccedil;ois Andr&eacute;	FRA	Male	1958-11-19	28.09	2426735	0	3	0	1994-11-03T16:59:43Z	0.000875	35		STS-66;STS-84;STS-103	10.94	19535216	00:00	international	CLERVOY_JA.md		
CLIFFORD, Michael R.	USA	Male	1952-10-13	27.77	2399172	21720	3	1	1992-12-02T13:24Z	0.000865	40	MSc in aerospace engineering	STS-53;STS-59;STS-76	11.24	19313334	06:02	astronaut	CLIFFORD_MR.md		
COATS, Michael L.	USA	Male	1946-01-16	19.33	1670241	0	3	0	1984-08-30T12:41:50Z	0.000602	38	MSc in administration of science & technology	STS-41-D;STS-29;STS-39	8.31	13445440	00:00	astronaut	COATS_ML.md		
COCKRELL, Kenneth D.	USA	Male	1950-04-09	64.52	5574513	0	5	0	1993-04-08T05:29Z	0.002010	42	BSc in mechanical engineering;MSc in aeronautical systems	STS-56;STS-69;STS-80;STS-98;STS-111	17.66	44874829	00:00	astronaut	COCKRELL_KD.md		
COLEMAN, Catherine G. 'Cady', (Ph.D.)	USA	Female	1960-12-14	180.17	15566422	0	3	0	1995-10-20T13:53Z	0.005612	34	BSc in chemistry;PhD in polymer science & engineering	STS-73;STS-93;Soyuz TMA-20	159.30	125309697	00:00	astronaut	COLEMAN_CG.md		Astro_Cady
COLLINS, Eileen M.	USA	Female	1956-11-19	36.30	3136236	0	4	0	1995-02-03T05:22:04Z	0.001131	38	BA in mathematics & economics;MSc in operations research;MA in space systems management	STS-63;STS-84;STS-93;STS-114	13.90	25246699	00:00	astronaut	COLLINS_EM.md		
COLLINS, Michael	USA	Male	1930-10-31	11.09	957916	5280	2	2	1966-07-18T22:20:26Z	0.000572	35		Gemini 10;Apollo 11	8.14	2811140	01:28	astronaut	COLLINS_M.md		
CONRAD, Charles 'Pete', Jr.	USA	Male	1930-06-02	49.15	4246719	45978	4	4	1965-08-21T13:59:59Z	0.001815	35	BSc in aeronautical engineering	Gemini 5;Gemini 11;Apollo 12;Skylab 2	28.03	27857378	12:46	astronaut	CONRAD_CJ.md		
COOPER, L. Gordon, Jr.	USA	Male	1927-03-06	9.39	810905	0	2	0	1963-05-15T13:04:13Z	0.000292	36	BSc in aeronautical engineering	Mercury-Atlas 9;Gemini 5	7.96	6527785	00:00	astronaut	COOPER_LGJ.md		
COVEY, Richard O.	USA	Male	1946-08-01	26.88	2322659	0	4	0	1985-08-27T10:58:01Z	0.000837	39	BSc in engineering sciences;MSc in aeronautics and astronautics	STS-51-I;STS-26;STS-38;STS-61	10.83	18697404	00:00	astronaut	COVEY_RO.md		
CREAMER, Timothy J.	USA	Male	1959-11-15	163.23	14103240	0	1	0	2009-12-20T21:52Z	0.005084	50	BSc in chemistry;MSc in physics	Soyuz TMA-17	163.23	113531082	00:00	astronaut	CREAMER_TJ.md		Astro_TJ
CREIGHTON, John O.	USA	Male	1943-04-28	16.85	1455894	0	3	0	1985-06-17T11:33:00Z	0.000525	42	MSc in administration of science & technology	STS-51G;STS-36;STS-48	7.07	11719946	00:00	astronaut	CREIGHTON_JO.md		
CRIPPEN, Robert L.	USA	Male	1937-09-11	23.58	2036917	0	4	0	1981-04-12T12:00:03Z	0.000734	43	BSc in aerospace engineering	STS-1;STS-7;STS-41-C;STS-41-G	8.22	16397181	00:00	astronaut	CRIPPEN_RL.md		
CRISTOFORETTI, Samantha	ITA	Female	1977-04-26	199.70	17253780	0	1	0	2014-11-23T21:01:00Z	0.006220	37		Soyuz TMA-15M	199.70	138892929	00:00	international	CRISTOFORETTI_S.md		AstroSamantha
CROUCH, Roger K.	USA	Male	1940-09-12	19.67	1699136	0	2	0	1997-04-04T19:20:32Z	0.000613	56	BSc in physics;PhD in physics	STS-83;STS-94	15.70	13678044	00:00	astronaut	CROUCH_RK.md		
CULBERTSON, Frank L., Jr.	USA	Male	1949-05-15	143.62	12408750	18300	3	1	1990-11-15T23:48:13Z	0.004474	41	BSc in aerospace engineering	STS-38;STS-51;STS-105;STS-108	128.87	99890437	05:05	astronaut	CULBERTSON_FLJ.md		
CUNNINGHAM, Walter	USA	Male	1932-03-16	10.84	936544	0	1	0	1968-10-11T15:02:45Z	0.000640	36	MA in physics	Apollo 7	10.84	760000	00:00	astronaut	CUNNINGHAM_W.md		
CURBEAM, Robert L., Jr.	USA	Male	1962-03-05	37.61	3249265	164100	3	7	1997-08-07T14:41Z	0.001171	35	BSc in aerospace engineering;MSc in aeronautical engineering	STS-85;STS-98;STS-116	12.89	26156583	45:35	astronaut	CURBEAM_RLJ.md		
CURRIE, Nancy J. (Sherlock), (Ph.D.)	USA	Female	1958-12-29	41.65	3598600	0	4	0	1993-06-21T13:07Z	0.001297	34	BA in biological science;MSc in safety engineering;PhD in industrial engineering	STS-57;STS-70;STS-88;STS-109	11.80	28968730	00:00	astronaut	CURRIE_NJ.md		
DAEMAN, Oliver	NLD	Male	2003-08-20	0.01	559	0	1	0	2021-07-20T13:12Z	0.000000	17		New Shepard 4	0.01	4499	00:00	commercial tourist	DAEMON_O.md		
DAURAN-GHULAM MASUM, Mohammed	AFG	Male	1954-01-20	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	DAURAN-GHULAM MASUM_M.md		
DAVIS, N. Jan	USA	Female	1953-11-01	28.09	2426868	0	3	0	1992-09-12T14:23Z	0.000875	38	BSc in applied biology;PhD in mechanical engineering	STS-47;STS-60;STS-85	11.85	19536287	00:00	astronaut	DAVIS_NJ.md		
DE WINNE, Frank	BEL	Male	1961-04-25	198.73	17170577	0	2	0	2002-10-30T03:11:11Z	0.006190	41		Soyuz TMA-1;Soyuz TM-34;Soyuz TMA-15	187.86	138223144	00:00	international	DE WINNE_F.md		
DEDIU, Dumitru	ROU	Male	1942-05-12	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	DEDIU_D.md		
DEDKOV, Anatoli Ivanovich	URS	Male	1944-07-24	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	DEDKOV_AI.md		
DEGTYARYOV, Vladimir Aleksandrovich	URS	Male	1932-04-04	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	DEGTYARYOV_VA.md		
DELUCAS, Lawrence J.	USA	Male	1950-07-11	13.81	1193405	0	1	0	1992-06-25T16:12:23Z	0.000430	41	MSc in chemistry	STS-50	13.81	9606910	00:00	astronaut	DELUCAS_LJ.md		
DENG, Qingming	CHN	Male		0.00	0	0	0	0		0.000000	0			0.00	0	00:00	taikonaut	DENG_Q.md		
DEZHUROV, Vladimir Nikolayevich	URS	Male	1962-07-30	244.23	21101395	135313	2	9	1995-03-14T06:11:34Z	0.007607	32		Soyuz TM-21;STS-71;STS-105;STS-108	128.87	169866229	37:35	cosmonaut	DEZHUROV_VN.md		
DOBROKVASHINA, Yelena Ivanovna	URS	Male	1947-10-08	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	DOBROKVASHINA_YI.md		
DOBROVOLSKY, Georgi Timofeyevich	URS	Male	1928-06-01	23.77	2053304	0	1	0	1971-06-06T07:55:09Z	0.000740	43		Soyuz 11	23.77	16529097	00:00	cosmonaut	DOBROVOLSKY_GT.md		
DOI, Takao	JPN	Male	1954-09-18	31.45	2717248	45780	2	2	1997-11-19T19:46Z	0.000980	43		STS-87;STS-123	15.76	21873846	12:43	international	DOI_T.md		
DOLGOPOLOV, Gennadi Aleksandrovich	URS	Male	1935-11-14	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	DOLGOPOLOV_GA.md		
DONG, Chen	CHN	Male	1978-12-01	32.28	2789068	0	1	0	2016-10-16T23:30:32Z	0.001005	37		Shenzhou 11	32.28	22451997	00:00	taikonaut	DONG_C.md		
DREW, B. Alvin, Jr.	USA	Male	1962-11-05	25.54	2206890	46080	2	2	2007-08-08T22:36:42Z	0.000796	44	BSc in physics & astronautical engineering	STS-118;STS-133	12.80	17765464	12:48	astronaut	DREW_BAJ.md		
DUBROV, Pyotr Valerievich	RUS	Male	1978-01-30	102.32	8840659	26340	1	1	2021-04-09T07:42:41Z	0.003187	43		Soyuz MS-18	102.32	71167304	07:19	cosmonaut	DUBROV_PV.md	2021-07-20T15:27Z	
DUFFY, Brian	USA	Male	1953-06-20	40.74	3519591	0	4	0	1992-03-24T13:13:39Z	0.001269	38	BSc in mathematics;MSc in systems management	STS-45;STS-57;STS-72;STS-92	12.90	28332707	00:00	astronaut	DUFFY_B.md		
DUKE, Charles M., Jr.	USA	Male	1935-10-03	11.08	957066	77886	1	4	1972-04-16T17:54Z	0.000654	36	BSc in naval sciences;MSc in aeronautics	Apollo 16	11.08	760000	21:38	astronaut	DUKE_CMJ.md		
DUNBAR, Bonnie	USA	Female	1949-03-03	50.35	4350450	0	5	0	1985-10-30T17:00Z	0.001568	36	MSc in ceramic engineering	STS-61-A;STS-32;STS-50;STS-71;STS-89	13.81	35021122	00:00	astronaut	DUNBAR_B.md		
DUQUE, Pedro Francisco	ESP	Male	1963-03-14	18.78	1622864	0	2	0	1998-10-29T19:19:34Z	0.000585	35		STS-95;Soyuz TMA-3;Soyuz TMA-2	9.88	13064055	00:00	international	DUQUE_PF.md		
DURRANCE, Samuel T.	USA	Male	1943-09-17	25.59	2211238	0	2	0	1990-12-02T06:49Z	0.000797	47	MSc in physics	STS-35;STS-67	16.63	17800465	00:00	astronaut	DURRANCE_ST.md		
DUTTON, James P., Jr.	USA	Male	1968-11-20	15.12	1306034	0	1	0	2010-04-05T10:21:22Z	0.000471	41	BSc in astronautical engineering;MSc in aeronautics & astronautics	STS-131	15.12	10513573	00:00	astronaut	DUTTON_JPJ.md		
DYOMIN, Lev Stepanovich	URS	Male	1926-01-11	2.01	173532	0	1	0	1974-08-26T19:58:05Z	0.000063	48		Soyuz 15	2.01	1396932	00:00	cosmonaut	DYOMIN_LS.md		
DZHANIBEKOV, Vladimir Aleksandrovich	URS	Male	1942-05-13	145.67	12585520	30840	5	2	1978-01-10T12:26Z	0.004537	35		Soyuz 27;Soyuz 26;Soyuz 39;Soyuz T-6;Soyuz T-12;Soyuz T-13	112.13	101313436	08:34	cosmonaut	DZHANIBEKOV_VA.md		
EDWARDS, Joe F., Jr.	USA	Male	1958-02-03	8.83	762525	0	1	0	1998-01-23T02:48:15Z	0.000275	39	BSc in aerospace engineering;MSc in aviation systems	STS-89	8.83	6138326	00:00	astronaut	EDWARDS_JFJ.md		
EISELE, Donn F.	USA	Male	1930-06-23	10.84	936544	0	1	0	1968-10-11T15:02:45Z	0.000640	38	BSc in astronautics;MSc in astronautics	Apollo 7	10.84	760000	00:00	astronaut	EISELE_DF.md		
ENGLAND, Anthony W.	USA	Male	1942-05-15	7.95	686727	0	1	0	1985-07-29T21:00:00Z	0.000248	43	MSc in geology;PhD in geophysics	STS-51-F	7.95	5528152	00:00	astronaut	ENGLAND_AW.md		
ENGLE, Joe H.	USA	Male	1932-08-26	9.35	808256	0	2	0	1981-11-12T15:09:59Z	0.000291	49	BSc in aeronautical engineering	STS-2;STS-51-I	7.10	6506460	00:00	astronaut	ENGLE_JH.md		
ENOMOTO, Daisuke 'Dice-K'	JPN	Male	1971-04-22	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	ENOMOTO_D.md		
EPPS, Jeanette J.	USA	Male	1970-11-03	0.00	0	0	0	0		0.000000	0	BSc in physics;PhD in aerospace engineering		0.00	0	00:00	astronaut	EPPS_JJ.md		Astro_Jeanette
EVANS, Ronald E.	USA	Male	1933-11-10	12.58	1086720	3944	1	1	1972-12-07T05:33Z	0.000743	39	BSc in electrical engineering;MSc in aeronautical engineering	Apollo 17	12.58	760000	01:06	astronaut	EVANS_RE.md		
EWALD, Reinhold	DEU	Male	1956-12-18	19.69	1701287	0	1	0	1997-02-10T14:09:30Z	0.000613	40		Soyuz TM-25;Soyuz TM-24	19.69	13695360	00:00	international	EWALD_R.md		
EYHARTS, L&eacute;opold Paul Pierre	FRA	Male	1957-04-28	68.90	5952751	0	2	0	1998-01-29T16:33:42Z	0.002146	40		Soyuz TM-27;Soyuz TM-26;STS-122;STS-123	48.21	47919645	00:00	international	EYHARTS_LPP.md		
FABIAN, John M.	USA	Male	1939-01-28	13.17	1137773	0	2	0	1983-06-18T11:33Z	0.000410	44	BSc in mechanical engineering;MSc in aerospace engineering;PhD in aeronautics & astronautics	STS-7;STS-51-G	7.07	9159072	00:00	astronaut	FABIAN_JM.md		
FARIS, Muhammed Achmed	SYR	Male	1951-05-26	7.96	687896	0	1	0	1987-07-22T01:59:17Z	0.000248	36		Soyuz TM-3;Soyuz TM-2	7.96	5537562	00:00	international	FARIS_MA.md		
FARKAS, Bertalan 'Bertsi'	HUN	Male	1949-08-02	7.87	679545	0	1	0	1980-05-26T18:20:39Z	0.000245	30		Soyuz 36;Soyuz 35	7.87	5470337	00:00	international	FARKAS_B.md		
FARRIMOND, Richard Alfred	GBR	Male	1947-09-15	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	FARRIMOND_RA.md		
FARTUSHNY, Vladimir Grigoriyevich	URS	Male	1938-02-03	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	FARTUSHNY_VG.md		
FATKHULLIN, Mars Nurgaliyevich	URS	Male	1939-05-14	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	FATKHULLIN_MN.md		
FAVIER, Jean-Jacques	FRA	Male	1949-04-13	16.91	1460911	0	1	0	1996-06-20T14:49Z	0.000527	47		STS-78	16.91	11760333	00:00	international	FAVIER_J.md		
FEDYAYEV, Andrei Valereivich	RUS	Male	1981-02-26	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	FEDYAYEV_AV.md		
FEFELOV, Nikolai Nikolayevich	URS	Male	1945-05-20	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	FEFELOV_NN.md		
FEI, Junlong	CHN	Male	1966-05-05	4.82	416037	0	1	0	2005-10-12T01:00:03Z	0.000150	39		Shenzhou VI	4.82	3349097	00:00	taikonaut	FEI_J.md		
FEOKTISTOV, Konstantin Petrovich	URS	Male	1926-02-07	1.01	87424	0	1	0	1964-10-12T07:30:01Z	0.000032	38		Voskhod 1	1.01	703763	00:00	cosmonaut	FEOKTISTOV_KP.md		
FERGUSON, Christopher J.	USA	Male	1961-09-01	40.42	3492396	0	3	0	2006-09-09T15:14:55Z	0.001259	45	BSc in mechanical engineering;MSc in aeronautical engineering	STS-115;STS-126;STS-135	15.85	28113787	00:00	astronaut	FERGUSON_CJ.md		Astro_Ferg
FETTMAN, Martin J.	USA	Male	1956-12-31	14.01	1210363	0	1	0	1993-10-18T14:53Z	0.000436	36	BSc in animal nutrition;PhD in physiology	STS-58	14.01	9743422	00:00	astronaut	FETTMAN_MJ.md		
FEUSTEL, Andrew J.	USA	Male	1965-08-25	225.39	19473462	222480	3	9	2009-05-11T18:01:56Z	0.007020	43	BSc in solid earth sciences;MSc in geophysics;PhD in seismology	STS-125;STS-134;Soyuz MS-08	196.75	156761369	61:48	astronaut	FEUSTEL_AJ.md		
FILATIYEV, Valentin Ignatiyevich	URS	Male	1930-01-21	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	FILATIYEV_VI.md		
FILIPCHENKO, Anatoli Vasiliyevich	URS	Male	1928-02-26	10.88	939840	0	2	0	1969-10-12T10:44:42Z	0.000339	41		Soyuz 7;Soyuz 16	5.93	7565712	00:00	cosmonaut	FILIPCHENKO_AV.md		
FINCKE, Edward Michael 'Mike'	USA	Male	1967-03-14	381.63	32973152	175020	3	9	2004-04-19T03:19Z	0.011887	37	BSc in aeronautics & astronautics;MSc in aeronautics & astronautics	Soyuz TMA-4;Soyuz TMA-13;STS-134	187.89	265433873	48:37	astronaut	FINCKE_EM.md		AstroIronMike
FISCHER, Jack David '2fish'	USA	Male	1974-01-23	134.76	11642896	25140	1	2	2017-04-20T07:13:44Z	0.004197	43	BSc in astronautical engineering;MSc in aeronautics & astronautics	Soyuz MS-04	134.76	93725312	06:59	astronaut	FISCHER_JD.md		Astro2fish
FISHER, Anna L.	USA	Female	1949-08-24	7.99	690297	0	1	0	1984-11-08T12:15Z	0.000249	35	MSc in chemistry;Doctor of Medicine	STS-51-A	7.99	5556890	00:00	astronaut	FISHER_AL.md		
FISHER, William F.	USA	Male	1946-04-01	7.10	613063	42360	1	2	1985-08-27T10:58:01Z	0.000221	39	MSc in engineering;Doctor of Medicine	STS-51-I	7.10	4935157	11:46	astronaut	FISHER_WF.md		
FLADE, Klaus-Dietrich	DEU	Male	1952-08-23	7.91	683813	0	1	0	1992-03-17T10:54:30Z	0.000247	39		Soyuz TM-14;Soyuz TM-13	7.91	5504694	00:00	international	FLADE_K.md		
FOALE, C. Michael	USA	Male	1957-01-06	373.72	32289597	81840	6	4	1992-03-24T13:13:39Z	0.011641	35	BA in physics;PhD in laboratory astrophysics	STS-45;STS-56;STS-63;STS-84;STS-86;STS-103;Soyuz TMA-3	194.77	259931255	22:44	astronaut	FOALE_CM.md		
FORD, Kevin A., (Ph.D.)	USA	Male	1960-07-07	157.55	13612549	0	2	0	2009-08-29T03:59Z	0.004907	49	BSc in aerospace engineering;MSc in international relations;PhD in astronautical engineering	STS-128;Soyuz TMA-06M	143.68	109581019	00:00	astronaut	FORD_KA.md		
FOREMAN, Michael J.	USA	Male	1957-03-29	26.56	2294922	116340	2	5	2008-03-11T06:28:14Z	0.000827	50	BSc in aerospace engineering;MSc in aeronautical engineering	STS-123;STS-129	15.76	18474122	32:19	astronaut	FOREMAN_MJ.md		foreman_mike
FORRESTER, Patrick G.	USA	Male	1957-03-31	39.60	3421221	91800	3	4	2001-08-10T21:10:14Z	0.001233	44	BSc in applied sciences and engineering;MSc in mechanical & aerospace engineering	STS-105;STS-117;STS-128	13.87	27540829	25:30	astronaut	FORRESTER_PG.md		
FOSSUM, Michael E.	USA	Male	1957-12-19	193.80	16743897	169020	3	7	2006-07-04T18:37:55Z	0.006036	48	BSc in mechanical engineering;MSc in systems engineering	STS-121;STS-124;Soyuz TMA-02M	167.26	134788370	46:57	astronaut	FOSSUM_ME.md		astro_aggie
FREEMAN, Theodore C.	USA	Male	1930-02-18	0.00	0	0	0	0		0.000000	0	MSc in aeronautical engineering		0.00	0	00:00	astronaut	FREEMAN_TC.md		
FRICK, Stephen N.	USA	Male	1964-09-30	23.59	2037890	0	2	0	2002-04-08T20:44:19Z	0.000735	37	BSc in aerospace engineering;MSc in aeronautical engineering	STS-110;STS-122	12.77	16405014	00:00	astronaut	FRICK_SN.md		
FRIMOUT, Dirk Dries David Damiaan	BEL	Male	1941-03-21	8.92	771021	0	1	0	1992-03-24T13:13:39Z	0.000278	51		STS-45	8.92	6206719	00:00	international	FRIMOUT_DDDD.md		
FUGLESANG, Arne Christer	SWE	Male	1957-03-18	26.74	2310025	114780	2	5	2006-12-10T01:47:35Z	0.000833	49		STS-116;STS-128	13.87	18595701	31:53	international	FUGLESANG_AC.md		
FULIER, Michal	SVK	Male	1955-02-20	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	FULIER_M.md		
FULLERTON, C. Gordon	USA	Male	1936-10-11	15.95	1378214	0	2	0	1982-03-22T16:00Z	0.000497	45	MSc in mechanical engineering	STS-3;STS-51-F	8.00	11094622	00:00	astronaut	FULLERTON_CG.md		
FUNK, Mary Wallace 'Wally'	USA	Female	1939-02-01	0.01	559	0	1	0	2021-07-20T13:12Z	0.000000	82		New Shepard 4	0.01	4499	00:00	commercial tourist	FUNK_MW.md		
FURRER, Reinhard Alfred	DEU	Male	1940-11-25	7.03	607492	0	1	0	1985-10-30T17:00Z	0.000219	44		STS-61-A	7.03	4890310	00:00	international	FURRER_RA.md		
FURUKAWA, Satoshi	JPN	Male	1964-04-04	167.26	14451300	0	1	0	2011-06-07T20:12Z	0.005210	47		Soyuz TMA-02M	167.26	116332965	00:00	international	FURUKAWA_S.md		Astro_Satoshi
FYODOROV, Anatoli Pawlovich	URS	Male	1941-04-14	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	FYODOROV_AP.md		
GAFFNEY, F. Andrew (Drew)	USA	Male	1946-06-09	9.09	785661	0	1	0	1991-06-05T13:24:51Z	0.000283	44	BA in psychology;Doctor of Medicine	STS-40	9.09	6324571	00:00	astronaut	GAFFNEY_FA.md		
GAGARIN, Yuri Alekseyevich	URS	Male	1934-03-09	0.08	6540	0	1	0	1961-04-12T06:07Z	0.000002	27		Vostok 1	0.08	52647	00:00	cosmonaut	GAGARIN_YA.md		
GANZORIG, Maidarzhavyn	MNG	Male	1949-02-05	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	GANZORIG_M.md		
GARAN, Ronald J., Jr.	USA	Male	1961-10-30	178.00	15378868	97380	2	4	2008-05-31T21:02:12Z	0.005544	46	BSc in business economics;MSc in aerospace engineering	STS-124;Soyuz TMA-21	164.24	123799887	27:03	astronaut	GARAN_RJJ.md		Astro_Ron
GARDNER, Dale A.	USA	Male	1948-11-08	14.04	1212821	42120	2	2	1983-08-30T06:32Z	0.000437	34	BSc in engineering physics	STS-8;STS-51-A	7.99	9763209	11:42	astronaut	GARDNER_DA.md		
GARDNER, Guy S.	USA	Male	1948-01-06	13.34	1152647	0	2	0	1988-12-02T14:30:34Z	0.000416	40	BSc in engineering sciences, astronautics and mathematics;MSc in astronautics	STS-27;STS-35	8.96	9278808	00:00	astronaut	GARDNER_GS.md		
GARNEAU, Joseph Jean-Pierre Marc	CAN	Male	1949-02-23	29.08	2512912	0	3	0	1984-10-05T11:03Z	0.000906	35		STS-41G;STS-77;STS-97	10.83	20228941	00:00	international	GARNEAU_JJM.md		
GARN, Jake	USA	Male	1932-10-12	7.00	604524	0	1	0	1985-04-12T13:59:05Z	0.000218	52	BSc in business and finance	STS-51-D	7.00	4866418	00:00	astronaut	GARN_J.md		
GARRIOTT, Owen K.	USA	Male	1930-11-22	69.75	6026187	49380	2	3	1973-07-28T11:10:50Z	0.002173	42	BSc in electrical engineering;PhD in electrical engineering	Skylab 3;STS-9	59.46	48510805	13:43	astronaut	GARRIOTT_OK.md		
GARRIOTTdeCAYEUX, Richard	GBR;USA	Male	1961-07-04	11.86	1024620	0	1	0	2008-10-12T07:01Z	0.000369	47		Soyuz TMA-13;Soyuz TMA-12	11.86	8248191	00:00	commercial tourist	GARRIOTdeCAYEUX_R.md		RichardGarriott
GASPARINI, Jean-Marc Michel Daniel	FRA	Male	1963-01-22	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	GASPARINI_JMD.md		
GAYDUKOV, Sergei Nikolayevich	URS	Male	1936-10-31	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	GAYDUKOV_SN.md		
GEMAR, Charles D.	USA	Male	1955-08-04	24.24	2093991	0	3	0	1990-11-15T23:48:13Z	0.000755	35	BSc in engineering	STS-38;STS-48;STS-62	13.97	16856627	00:00	astronaut	GEMAR_CD.md		
GERNHARDT, Michael L.	USA	Male	1956-05-04	42.29	3654233	83760	4	4	1995-09-07T15:09Z	0.001317	39	BSc in physics;PhD in bioengineering	STS-69;STS-83;STS-94;STS-104	15.70	29416575	23:16	astronaut	GERNHARDT_ML.md		
GERST, Alexander	DEU	Male	1976-05-03	362.58	31326619	22380	2	1	2014-05-28T19:57:41Z	0.011294	38		Soyuz TMA-13M;Soyuz MS-09	197.24	252179282	06:13	international	GERST_A.md		Astro_Alex
GEVORKYAN, Vladimir Mkrtychovich	URS	Male	1952-05-28	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	GEVORKYAN_VM.md		
GIBSON, Edward G.	USA	Male	1936-11-08	84.05	7262131	55260	1	3	1973-11-16T14:01:23Z	0.002618	37	BSc in engineering;PhD in engineering	Skylab 4	84.05	58460154	15:21	astronaut	GIBSON_EG.md		
GIBSON, Robert L. 'Hoot'	USA	Male	1946-10-30	36.18	3125941	0	5	0	1984-02-03T13:00Z	0.001127	37	BSc in aeronautical engineering	STS-41-B;STS-61-C;STS-27;STS-47;STS-71	9.81	25163825	00:00	astronaut	GIBSON_RL.md		
