Name	Country	Gender	Date of Birth	Time in Space (days)	Time in Space (s)	EVA Time (s)	Number of Launches	Number of EVAs	First Launch	Time dilation (s)	Age at first launch (yr)	Qualifications	Missions	Longest single trip (days)	Total distance covered (km)	EVA (hh:mm)	Type
CHEN, Quan	CHN	Male		0.00	0	0	0	0		0.000000	0		STS-75	0.00	0	00:00	
CHIAO, Leroy	USA	Male	1960-08-28	229.36	19816831	130020	4	1	1994-07-08T16:43:01Z	0.007144	33		STS-65;STS-65;STS-65;STS-72;STS-72;STS-72;STS-92;STS-92;STS-92;Soyuz TMA-5;Soyuz TMA-5;Soyuz TMA-5;Soyuz TMA-5	192.79	159525489	36:07	
CHILTON, Kevin P., General	USA	Male	1954-11-03	29.43	2543073	0	3	0	1992-05-07T23:40Z	0.000917	37		STS-49;STS-49;STS-49;STS-59;STS-59;STS-59;STS-76;STS-76;STS-76;STS-76	11.24	20471737	00:00	
CHIRKIN, Viktor Martynovich	URS	Male	1944-07-13	0.00	0	0	0	0		0.000000	0		STS-76	0.00	0	00:00	
CHRéTIEN, Jean-Loup Jacques Marie	FRA	Male	1938-08-20	18.72	1617154	22200	4	1	1982-06-24T16:29:48Z	0.000583	43		Soyuz T-6;Soyuz T-6;Soyuz T-6;Soyuz TM-7;Soyuz TM-7;Soyuz TM-7;Soyuz TM-6;Soyuz TM-6;Soyuz TM-6;STS-86;STS-86;STS-86;STS-86	10.81	13018089	06:10	
CHUB, Nikolai Aleksandrovich	RUS	Male	1984-06-10	0.00	0	0	0	0		0.000000	0		STS-86	0.00	0	00:00	
CLARK, Laurel B.	USA	Female	1961-03-10	15.93	1376400	0	1	0	2003-01-16T15:39Z	0.000496	41		STS-107;STS-107;STS-107;STS-107	15.93	11080020	00:00	
CLEAVE, Mary L.	USA	Female	1947-02-05	4.04	348869	0	2	0	1989-05-04T18:48:59Z	0.000126	42		STS-61B -on Atlantis;STS-61B -on Atlantis;STS-61B -on Atlantis;STS-30;STS-30;STS-30;STS-30	4.04	2808395	00:00	
CLERVOY, Jean-Fran&ccedil;ois Andr&eacute;	FRA	Male	1958-11-19	28.09	2426735	0	3	0	1994-11-03T16:59:43Z	0.000875	35		STS-66;STS-66;STS-66;STS-84;STS-84;STS-84;STS-103;STS-103;STS-103;STS-103	10.94	19535216	00:00	
CLIFFORD, Michael R.	USA	Male	1952-10-13	0.00	0	0	0	0		0.000000	0		STS-103	0.00	0	00:00	
COATS, Michael L.	USA	Male	1946-01-16	19.33	1670241	0	3	0	1984-08-30T12:41:50Z	0.000602	38		STS-41-D;STS-41-D;STS-41-D;STS-29;STS-29;STS-29;STS-39;STS-39;STS-39;STS-39	8.31	13445440	00:00	
COCKRELL, Kenneth D.	USA	Male	1950-04-09	64.52	5574513	0	5	0	1993-04-08T05:29Z	0.002010	42		STS-56;STS-56;STS-56;STS-69;STS-69;STS-69;STS-80;STS-80;STS-80;STS-98;STS-98;STS-98;STS-111;STS-111;STS-111;STS-111	17.66	44874829	00:00	
COLEMAN, Catherine G. 'Cady', (Ph.D.)	USA	Female	1960-12-14	180.17	15566422	0	3	0	1995-10-20T13:53Z	0.005612	34		STS-73;STS-73;STS-73;STS-93;STS-93;STS-93;Soyuz TMA-20;Soyuz TMA-20;Soyuz TMA-20;Soyuz TMA-20	159.30	125309697	00:00	
COLLINS, Eileen M.	USA	Female	1956-11-19	36.30	3136236	0	4	0	1995-02-03T05:22:04Z	0.001131	38		STS-63;STS-63;STS-63;STS-84;STS-84;STS-84;STS-93;STS-93;STS-93;STS-114;STS-114;STS-114;STS-114	13.90	25246699	00:00	
COLLINS, Michael	USA	Male	1930-10-31	11.09	957916	5220	2	1	1966-07-18T22:20:26Z	0.000572	35		Gemini 10;Gemini 10;Gemini 10;Apollo 11;Apollo 11;Apollo 11;Apollo 11	8.14	2811140	01:27	
CONRAD, Charles, Jr.	USA	Male	1930-06-02	49.15	4246719	44880	4	1	1965-08-21T13:59:59Z	0.001815	35		Gemini 5;Gemini 5;Gemini 5;Gemini 11;Gemini 11;Gemini 11;Apollo 12;Apollo 12;Apollo 12;Skylab 2;Skylab 2;Skylab 2;Skylab 2	28.03	27857378	12:28	
COOPER, L. Gordon, Jr.	USA	Male	1927-03-06	9.39	810905	0	2	0	1963-05-15T13:04:13Z	0.000292	36		Mercury-Atlas 9;Mercury-Atlas 9;Mercury-Atlas 9;Gemini 5;Gemini 5;Gemini 5;Gemini 5	7.96	6527785	00:00	
COVEY, Richard O.	USA	Male	1946-08-01	26.88	2322659	0	4	0	1985-08-27T10:58:01Z	0.000837	39		STS-51-I;STS-51-I;STS-51-I;STS-26;STS-26;STS-26;STS-38;STS-38;STS-38;STS-61;STS-61;STS-61;STS-61	10.83	18697404	00:00	
CREAMER, Timothy J.	USA	Male	1959-11-15	163.23	14103240	0	1	0	2009-12-20T21:52Z	0.005084	50		Soyuz TMA-17;Soyuz TMA-17;Soyuz TMA-17;Soyuz TMA-17	163.23	113531082	00:00	
CREIGHTON, John O.	USA	Male	1943-04-28	0.00	0	0	0	0		0.000000	0		Soyuz TMA-17	0.00	0	00:00	
CRIPPEN, Robert L.	USA	Male	1937-09-11	23.58	2036917	0	4	0	1981-04-12T12:00:03Z	0.000734	43		STS-1;STS-1;STS-1;STS-7;STS-7;STS-7;STS-41-C;STS-41-C;STS-41-C;STS-41-G;STS-41-G;STS-41-G;STS-41-G	8.22	16397181	00:00	
CRISTOFORETTI, Samantha	ITA	Female	1977-04-26	38.12	3293939	0	1	0	2014-11-23T21:01:00Z	0.001188	37		Soyuz TMA-15M;Soyuz TMA-15M;Soyuz TMA-15M;Soyuz TMA-15M	38.12	26516208	00:00	
CROUCH, Roger K.	USA	Male	1940-09-12	19.67	1699136	0	2	0	1997-04-04T19:20:32Z	0.000613	56		STS-83;STS-83;STS-83;STS-94;STS-94;STS-94;STS-94	15.70	13678044	00:00	
CULBERTSON, Frank L., Jr.	USA	Male	1949-05-15	14.75	1274790	18240	5	1	1990-11-15T23:48:13Z	0.000460	41		STS-38;STS-38;STS-38;STS-51;STS-51;STS-51;STS-105;STS-105;STS-105;STS-108;STS-108;STS-108;Expedition 3: STS-105 Discovery (up) and STS-108 Endeavour (down);Expedition 3: STS-105 Discovery (up) and STS-108 Endeavour (down);Expedition 3: STS-105 Discovery (up) and STS-108 Endeavour (down);Expedition 3: STS-105 Discovery (up) and STS-108 Endeavour (down)	9.84	10262059	05:04	
CUNNINGHAM, Walter	USA	Male	1932-03-16	10.84	936544	0	1	0	1968-10-11T15:02:45Z	0.000640	36		Apollo 7;Apollo 7;Apollo 7;Apollo 7	10.84	760000	00:00	
CURBEAM, Robert L., Jr.	USA	Male	1962-03-05	37.61	3249265	164040	3	1	1997-08-07T14:41Z	0.001171	35		STS-85;STS-85;STS-85;STS-98;STS-98;STS-98;STS-116;STS-116;STS-116;STS-116	12.89	26156583	45:34	
CURRIE, Nancy J. (Sherlock), (Ph.D.) 	USA	Female	1958-12-29	41.65	3598600	0	4	0	1993-06-21T13:07Z	0.001297	34		STS-57;STS-57;STS-57;STS-70;STS-70;STS-70;STS-88;STS-88;STS-88;STS-109;STS-109;STS-109;STS-109	11.80	28968730	00:00	
DAURAN-GHULAM MASUM, Mohammed	AFG	Male	1954-01-20	0.00	0	0	0	0		0.000000	0		STS-109	0.00	0	00:00	
DAVIS, N. Jan	USA	Female	1953-11-01	20.15	1741043	0	3	0	1994-02-03T12:10Z	0.000628	40		STS-47on Endeavour;STS-47on Endeavour;STS-47on Endeavour;STS-60;STS-60;STS-60;STS-85;STS-85;STS-85;STS-85	11.85	14015396	00:00	
DE WINNE, Frank	BEL	Male	1961-04-25	187.86	16231387	0	3	0	2002-10-30T03:11:11Z	0.005852	41		Soyuz TMA-1;Soyuz TMA-1;Soyuz TMA-1;Soyuz TM-34;Soyuz TM-34;Soyuz TM-34;Soyuz TMA-15;Soyuz TMA-15;Soyuz TMA-15;Soyuz TMA-15	187.86	130662665	00:00	
DEDIU, Dumitru	ROU	Male	1942-05-12	0.00	0	0	0	0		0.000000	0		Soyuz TMA-15	0.00	0	00:00	
DEDKOV, Anatoli Ivanovich	URS	Male	1944-07-24	0.00	0	0	0	0		0.000000	0		Soyuz TMA-15	0.00	0	00:00	
DEGTYARYOV, Vladimir Aleksandrovich	URS	Male	1932-04-04	0.00	0	0	0	0		0.000000	0		Soyuz TMA-15	0.00	0	00:00	
DELUCAS, Lawrence J.	USA	Male	1950-07-11	13.81	1193405	0	1	0	1992-06-25T16:12:23Z	0.000430	41		STS-50;STS-50;STS-50;STS-50	13.81	9606910	00:00	
DENG, Qingming	CHN	Male		0.00	0	0	0	0		0.000000	0		STS-50	0.00	0	00:00	
DEZHUROV, Vladimir Nikolayevich	URS	Male	1962-07-30	23.70	2047832	133320	4	7	1995-03-14T06:11:34Z	0.000738	32		Soyuz TM-21;Soyuz TM-21;Soyuz TM-21;STS-71;STS-71;STS-71;STS-105;STS-105;STS-105;STS-108;STS-108;STS-108;STS-108	11.88	16485047	37:02	
DOBROKVASHINA, Yelena Ivanovna	URS	Male	1947-10-08	0.00	0	0	0	0		0.000000	0		STS-108	0.00	0	00:00	
DOBROVOLSKY, Georgi Timofeyevich	URS	Male	1928-06-01	23.77	2053304	0	1	0	1971-06-06T07:55:09Z	0.000740	43		Soyuz 11;Soyuz 11;Soyuz 11;Soyuz 11	23.77	16529097	00:00	
DOI, Takao	JPN	Male	1954-09-18	31.45	2717248	45720	2	2	1997-11-19T19:46Z	0.000980	43		STS-87;STS-87;STS-87;STS-123;STS-123;STS-123;STS-123	15.76	21873846	12:42	
DOLGOPOLOV, Gennadi Aleksandrovich	URS	Male	1935-11-14	0.00	0	0	0	0		0.000000	0		STS-123	0.00	0	00:00	
DREW, B. Alvin, Jr.	USA	Male	1962-11-05	25.54	2206890	46080	2	1	2007-08-08T22:36:42Z	0.000796	44		STS-118;STS-118;STS-118;STS-133;STS-133;STS-133;STS-133	12.80	17765464	12:48	
DUBROV, Pyotr Valerievich	RUS	Male	1978-01-30	0.00	0	0	0	0		0.000000	0		STS-133	0.00	0	00:00	
DUFFY, Brian	USA	Male	1953-06-20	40.74	3519591	0	4	0	1992-03-24T13:13:39Z	0.001269	38		STS-45;STS-45;STS-45;STS-57;STS-57;STS-57;STS-72;STS-72;STS-72;STS-92;STS-92;STS-92;STS-92	12.90	28332707	00:00	
DUKE, Charles M., Jr.	USA	Male	1935-10-03	11.08	957066	72900	1	1	1972-04-16T17:54Z	0.000654	36		Apollo 16;Apollo 16;Apollo 16;Apollo 16	11.08	760000	20:15	
DUNBAR, Bonnie	USA	Female	1949-03-03	50.35	4350450	0	5	0	1985-10-30T17:00Z	0.001568	36		STS-61-A;STS-61-A;STS-61-A;STS-32;STS-32;STS-32;STS-50;STS-50;STS-50;STS-71;STS-71;STS-71;STS-89;STS-89;STS-89;STS-89	13.81	35021122	00:00	
DUQUE, Pedro Francisco	ESP	Male	1963-03-14	8.91	769526	0	3	0	1998-10-29T19:19:34Z	0.000277	35		STS-95;STS-95;STS-95;Soyuz TMA-3;Soyuz TMA-3;Soyuz TMA-3;Soyuz TMA-2;Soyuz TMA-2;Soyuz TMA-2;Soyuz TMA-2	8.91	6194684	00:00	
DURRANCE, Samuel T.	USA	Male	1943-09-17	25.59	2211238	0	2	0	1990-12-02T06:49Z	0.000797	47		STS-35;STS-35;STS-35;STS-67;STS-67;STS-67;STS-67	16.63	17800465	00:00	
DUTTON, James P., Jr.	USA	Male	1968-11-20	15.12	1306034	0	1	0	2010-04-05T10:21:22Z	0.000471	41		STS-131;STS-131;STS-131;STS-131	15.12	10513573	00:00	
DYOMIN, Lev Stepanovich	URS	Male	1926-01-11	2.01	173532	0	1	0	1974-08-26T19:58:05Z	0.000063	48		Soyuz 15;Soyuz 15;Soyuz 15;Soyuz 15	2.01	1396932	00:00	
DZHANIBEKOV, Vladimir Aleksandrovich	URS	Male	1942-05-13	139.71	12070781	30900	6	2	1978-01-10T12:26Z	0.004352	35		Soyuz 27;Soyuz 27;Soyuz 27;Soyuz 26;Soyuz 26;Soyuz 26;Soyuz 39;Soyuz 39;Soyuz 39;Soyuz T-6;Soyuz T-6;Soyuz T-6;Soyuz T-12;Soyuz T-12;Soyuz T-12;Soyuz T-13;Soyuz T-13;Soyuz T-13;Soyuz T-13	112.13	97169787	08:35	
EDWARDS, Joe F., Jr.	USA	Male	1958-02-03	8.83	762525	0	1	0	1998-01-23T02:48:15Z	0.000275	39		STS-89;STS-89;STS-89;STS-89	8.83	6138326	00:00	
EISELE, Donn F.	USA	Male	1930-06-23	10.84	936544	0	1	0	1968-10-11T15:02:45Z	0.000640	38		Apollo 7;Apollo 7;Apollo 7;Apollo 7	10.84	760000	00:00	
ENGLAND, Anthony W.	USA	Male	1942-05-15	7.95	686727	0	1	0	1985-07-29T21:00:00Z	0.000248	43		STS-51-F;STS-51-F;STS-51-F;STS-51-F	7.95	5528152	00:00	
ENGLE, Joe H.	USA	Male	1932-08-26	9.35	808256	0	2	0	1981-11-12T15:09:59Z	0.000291	49		STS-2;STS-2;STS-2;STS-51-I;STS-51-I;STS-51-I;STS-51-I	7.10	6506460	00:00	
ENOMOTO, Daisuke 'Dice-K'	JPN	Male	1971-04-22	0.00	0	0	0	0		0.000000	0		STS-51-I	0.00	0	00:00	
EPPS, Jeanette J.	USA	Male	1970-11-03	0.00	0	0	0	0		0.000000	0		STS-51-I	0.00	0	00:00	
EVANS, Ronald E.	USA	Male	1933-11-10	12.58	1086720	3900	1	1	1972-12-07T05:33Z	0.000743	39		Apollo 17;Apollo 17;Apollo 17;Apollo 17	12.58	760000	01:05	
EWALD, Reinhold	DEU	Male	1956-12-18	0.00	0	0	2	0	1997-02-10T14:09:30Z	0.000000	40		Soyuz TM-25;Soyuz TM-25;Soyuz TM-25;Soyuz TM-24;Soyuz TM-24;Soyuz TM-24;Soyuz TM-24	0.00	0	00:00	
EYHARTS, L&eacute;opold Paul Pierre	FRA	Male	1957-04-28	0.00	0	0	4	0	1998-01-29T16:33:42Z	0.000000	40		Soyuz TM-27;Soyuz TM-27;Soyuz TM-27;Soyuz TM-26;Soyuz TM-26;Soyuz TM-26;STS-122;STS-122;STS-122;STS-123;STS-123;STS-123;STS-123	0.00	0	00:00	
FABIAN, John M.	USA	Male	1939-01-28	13.17	1137773	0	2	0	1983-06-18T11:33Z	0.000410	44		STS-7;STS-7;STS-7;STS-51-G;STS-51-G;STS-51-G;STS-51-G	7.07	9159072	00:00	
FARIS, Muhammed Achmed	SYR	Male	1951-05-26	0.00	0	0	2	0	1987-07-22T01:59:17Z	0.000000	36		Soyuz TM-3;Soyuz TM-3;Soyuz TM-3;Soyuz TM-2;Soyuz TM-2;Soyuz TM-2;Soyuz TM-2	0.00	0	00:00	
FARKAS, Bertalan 'Bertsi'	HUN	Male	1949-08-02	0.00	0	0	2	0	1980-05-26T18:20:39Z	0.000000	30		Soyuz 36;Soyuz 36;Soyuz 36;Soyuz 35;Soyuz 35;Soyuz 35;Soyuz 35	0.00	0	00:00	
FARRIMOND, Richard Alfred	GBR	Male	1947-09-15	0.00	0	0	0	0		0.000000	0		Soyuz 35	0.00	0	00:00	
FARTUSHNY, Vladimir Grigoriyevich	URS	Male	1938-02-03	0.00	0	0	0	0		0.000000	0		Soyuz 35	0.00	0	00:00	
FATKHULLIN, Mars Nurgaliyevich	URS	Male	1939-05-14	0.00	0	0	0	0		0.000000	0		Soyuz 35	0.00	0	00:00	
FAVIER, Jean-Jacques	FRA	Male	1949-04-13	16.91	1460911	0	1	0	1996-06-20T14:49Z	0.000527	47		STS-78;STS-78;STS-78;STS-78	16.91	11760333	00:00	
FEDYAYEV, Andrei Valereivich	RUS	Male	1981-02-26	0.00	0	0	0	0		0.000000	0		STS-78	0.00	0	00:00	
FEFELOV, Nikolai Nikolayevich	URS	Male	1945-05-20	0.00	0	0	0	0		0.000000	0		STS-78	0.00	0	00:00	
FEI, Junlong	CHN	Male	1966-05-05	4.82	416037	0	1	0	2005-10-12T01:00:03Z	0.000150	39		Shenzhou VI;Shenzhou VI;Shenzhou VI;Shenzhou VI	4.82	3349097	00:00	
FEOKTISTOV, Konstantin Petrovich	URS	Male	1926-02-07	1.01	87424	0	1	0	1964-10-12T07:30:01Z	0.000032	38		Voskhod 1;Voskhod 1;Voskhod 1;Voskhod 1	1.01	703763	00:00	
FERGUSON, Christopher J.	USA	Male	1961-09-01	40.42	3492396	0	3	0	2006-09-09T15:14:55Z	0.001259	45		STS-115;STS-115;STS-115;STS-126;STS-126;STS-126;STS-135;STS-135;STS-135;STS-135	15.85	28113787	00:00	
FETTMAN, Martin J.	USA	Male	1956-12-31	14.01	1210363	0	1	0	1993-10-18T14:53Z	0.000436	36		STS-58;STS-58;STS-58;STS-58	14.01	9743422	00:00	
FEUSTEL, Andrew J.	USA	Male	1965-08-25	28.64	2474202	152280	2	1	2009-05-11T18:01:56Z	0.000892	43		STS-125;STS-125;STS-125;STS-134;STS-134;STS-134;STS-134	15.74	19917326	42:18	
FILATIYEV, Valentin Ignatiyevich	URS	Male	1930-01-21	0.00	0	0	0	0		0.000000	0		STS-134	0.00	0	00:00	
FILIPCHENKO, Anatoli Vasiliyevich	URS	Male	1928-02-26	10.88	939840	0	2	0	1969-10-12T10:44:42Z	0.000339	41		Soyuz 7;Soyuz 7;Soyuz 7;Soyuz 16;Soyuz 16;Soyuz 16;Soyuz 16	5.93	7565712	00:00	
FINCKE, Edward Michael 'Mike'	USA	Male	1967-03-14	381.63	32973152	175020	5	1	2004-04-19T03:19Z	0.011887	37		Expedition 9 on Soyuz;Expedition 9 on Soyuz;Expedition 9 on Soyuz;Soyuz TMA-4;Soyuz TMA-4;Soyuz TMA-4;Soyuz TMA-13;Soyuz TMA-13;Soyuz TMA-13;Expedition 18 on Soyuz;Expedition 18 on Soyuz;Expedition 18 on Soyuz;STS-134;STS-134;STS-134;STS-134	187.89	265433873	48:37	
FISCHER, Jack David '2fish'	USA	Male	1974-01-23	0.00	0	0	0	0		0.000000	0		STS-134	0.00	0	00:00	
FISHER, Anna L.	USA	Female	1949-08-24	7.99	690297	0	1	0	1984-11-08T12:15Z	0.000249	35		STS-51-A;STS-51-A;STS-51-A;STS-51-A	7.99	5556890	00:00	
FISHER, William F.	USA	Male	1946-04-01	7.10	613063	42720	1	1	1985-08-27T10:58:01Z	0.000221	39		STS-51-I;STS-51-I;STS-51-I;STS-51-I	7.10	4935157	11:52	
FLADE, Klaus-Dietrich	DEU	Male	1952-08-23	0.00	0	0	2	0	1992-03-17T10:54:30Z	0.000000	39		Soyuz TM-14;Soyuz TM-14;Soyuz TM-14;Soyuz TM-13;Soyuz TM-13;Soyuz TM-13;Soyuz TM-13	0.00	0	00:00	
FOALE, C. Michael	USA	Male	1957-01-06	229.19	19801905	81840	9	1	1992-03-24T13:13:39Z	0.007139	35		STS-45;STS-45;STS-45;STS-56;STS-56;STS-56;STS-63;STS-63;STS-63;Mir 23 on STS-84 Atlantis(up) and STS-86 Atlantis(down);Mir 23 on STS-84 Atlantis(up) and STS-86 Atlantis(down);Mir 23 on STS-84 Atlantis(up) and STS-86 Atlantis(down);STS-84;STS-84;STS-84;STS-86;STS-86;STS-86;STS-103;STS-103;STS-103;Soyuz TMA-3;Soyuz TMA-3;Soyuz TMA-3;Expedition 8 on Soyuz;Expedition 8 on Soyuz;Expedition 8 on Soyuz;Expedition 8 on Soyuz	194.77	159405335	22:44	
FORD, Kevin A., (Ph.D.)	USA	Male	1960-07-07	157.55	13612549	0	2	0	2009-08-29T03:59Z	0.004907	49		STS-128;STS-128;STS-128;Soyuz TMA-06M;Soyuz TMA-06M;Soyuz TMA-06M;Soyuz TMA-06M	143.68	109581019	00:00	
FOREMAN, Michael J.	USA	Male	1957-03-29	26.56	2294922	116340	2	1	2008-03-11T06:28:14Z	0.000827	50		STS-123;STS-123;STS-123;STS-129;STS-129;STS-129;STS-129	15.76	18474122	32:19	
FORRESTER, Patrick G.	USA	Male	1957-03-31	39.60	3421221	91800	3	1	2001-08-10T21:10:14Z	0.001233	44		STS-105;STS-105;STS-105;STS-117;STS-117;STS-117;STS-128;STS-128;STS-128;STS-128	13.87	27540829	25:30	
FOSSUM, Michael E.	USA	Male	1957-12-19	193.80	16743897	174720	4	1	2006-07-04T18:37:55Z	0.006036	48		STS-121;STS-121;STS-121;STS-124;STS-124;STS-124;Expedition 28/29 on Soyuz;Expedition 28/29 on Soyuz;Expedition 28/29 on Soyuz;Soyuz TMA-02M;Soyuz TMA-02M;Soyuz TMA-02M;Soyuz TMA-02M	167.26	134788370	48:32	
FREEMAN, Theodore C.	USA	Male	1930-02-18	0.00	0	0	0	0		0.000000	0		Soyuz TMA-02M	0.00	0	00:00	
FRICK, Stephen N.	USA	Male	1964-09-30	23.59	2037890	0	2	0	2002-04-08T20:44:19Z	0.000735	37		STS-110;STS-110;STS-110;STS-122;STS-122;STS-122;STS-122	12.77	16405014	00:00	
FRIMOUT, Dirk Dries David Damiaan	BEL	Male	1941-03-21	8.92	771021	0	1	0	1992-03-24T13:13:39Z	0.000278	51		STS-45;STS-45;STS-45;STS-45	8.92	6206719	00:00	
FUGLESANG, Arne Christer	SWE	Male	1957-03-18	26.74	2310025	114840	2	5	2006-12-10T01:47:35Z	0.000833	49		STS-116;STS-116;STS-116;STS-128;STS-128;STS-128;STS-128	13.87	18595701	31:54	
FULIER, Michal	SVK	Male	1955-02-20	0.00	0	0	0	0		0.000000	0		STS-128	0.00	0	00:00	
FULLERTON, C. Gordon	USA	Male	1936-10-11	15.95	1378214	0	2	0	1982-03-22T16:00Z	0.000497	45		STS-3;STS-3;STS-3;STS-51-F;STS-51-F;STS-51-F;STS-51-F	8.00	11094622	00:00	
FURRER, Reinhard Alfred	DEU	Male	1940-11-25	7.03	607492	0	1	0	1985-10-30T17:00Z	0.000219	44		STS-61-A;STS-61-A;STS-61-A;STS-61-A	7.03	4890310	00:00	
FURUKAWA, Satoshi	JPN	Male	1964-04-04	167.26	14451300	0	1	0	2011-06-07T20:12Z	0.005210	47		Soyuz TMA-02M;Soyuz TMA-02M;Soyuz TMA-02M;Soyuz TMA-02M	167.26	116332965	00:00	
FYODOROV, Anatoli Pawlovich	URS	Male	1941-04-14	0.00	0	0	0	0		0.000000	0		Soyuz TMA-02M	0.00	0	00:00	
GAFFNEY, F. Andrew (Drew)	USA	Male	1946-06-09	9.09	785661	0	1	0	1991-06-05T13:24:51Z	0.000283	44		STS-40;STS-40;STS-40;STS-40	9.09	6324571	00:00	
GAGARIN, Yuri Alekseyevich	URS	Male	1934-03-09	0.08	6540	0	1	0	1961-04-12T06:07Z	0.000002	27		Vostok 1;Vostok 1;Vostok 1;Vostok 1	0.08	52647	00:00	
GANZORIG, Maidarzhavyn	MNG	Male	1949-02-05	0.00	0	0	0	0		0.000000	0		Vostok 1	0.00	0	00:00	
GARAN, Ronald J., Jr.	USA	Male	1961-10-30	178.00	15378868	97380	2	1	2008-05-31T21:02:12Z	0.005544	46		STS-124;STS-124;STS-124;Soyuz TMA-21;Soyuz TMA-21;Soyuz TMA-21;Soyuz TMA-21	164.24	123799887	27:03	
GARDNER, Dale A.	USA	Male	1948-11-08	14.04	1212821	44040	2	1	1983-08-30T06:32Z	0.000437	34		STS-8;STS-8;STS-8;STS-51-A;STS-51-A;STS-51-A;STS-51-A	7.99	9763209	12:14	
GARDNER, Guy S.	USA	Male	1948-01-06	13.34	1152647	0	2	0	1988-12-02T14:30:34Z	0.000416	40		STS-27;STS-27;STS-27;STS-35;STS-35;STS-35;STS-35	8.96	9278808	00:00	
GARNEAU, Joseph Jean-Pierre Marc	CAN	Male	1949-02-23	20.86	1802299	0	3	0	1996-05-19T10:30Z	0.000650	47		STS-41G;STS-41G;STS-41G;STS-77;STS-77;STS-77;STS-97;STS-97;STS-97;STS-97	10.83	14508506	00:00	
GARN, Jake	USA	Male	1932-10-12	7.00	604524	0	1	0	1985-04-12T13:59:05Z	0.000218	52		STS-51-D;STS-51-D;STS-51-D;STS-51-D	7.00	4866418	00:00	
GARRIOTT, Owen K.	USA	Male	1930-11-22	69.75	6026187	49320	2	1	1973-07-28T11:10:50Z	0.002173	42		Skylab 3;Skylab 3;Skylab 3;STS-9;STS-9;STS-9;STS-9	59.46	48510805	13:42	
GARRIOTTdeCAYEUX, Richard	GBR;USA	Male	1961-07-04	0.00	0	0	2	0	2008-10-12T07:01Z	0.000000	47		Soyuz TMA-13;Soyuz TMA-13;Soyuz TMA-13;Soyuz TMA-12;Soyuz TMA-12;Soyuz TMA-12;Soyuz TMA-12	0.00	0	00:00	
GASPARINI, Jean-Marc Michel Daniel	FRA	Male	1963-01-22	0.00	0	0	0	0		0.000000	0		Soyuz TMA-12	0.00	0	00:00	
GAYDUKOV, Sergei Nikolayevich	URS	Male	1936-10-31	0.00	0	0	0	0		0.000000	0		Soyuz TMA-12	0.00	0	00:00	
GEMAR, Charles D.	USA	Male	1955-08-04	24.24	2093991	0	3	0	1990-11-15T23:48:13Z	0.000755	35		STS-38;STS-38;STS-38;STS-48;STS-48;STS-48;STS-62;STS-62;STS-62;STS-62	13.97	16856627	00:00	
GERNHARDT, Michael L.	USA	Male	1956-05-04	42.29	3654233	83760	4	1	1995-09-07T15:09Z	0.001317	39		STS-69;STS-69;STS-69;STS-83;STS-83;STS-83;STS-94;STS-94;STS-94;STS-104;STS-104;STS-104;STS-104	15.70	29416575	23:16	
GERST, Alexander	DEU	Male	1976-05-03	165.33	14284819	22380	1	1	2014-05-28T19:57:41Z	0.005150	38		Soyuz TMA-13M;Soyuz TMA-13M;Soyuz TMA-13M;Soyuz TMA-13M	165.33	114992792	06:13	
GEVORKYAN, Vladimir Mkrtychovich	URS	Male	1952-05-28	0.00	0	0	0	0		0.000000	0		Soyuz TMA-13M	0.00	0	00:00	
GIBSON, Edward G.	USA	Male	1936-11-08	84.05	7262131	55020	1	1	1973-11-16T14:01:23Z	0.002618	37		Skylab 4;Skylab 4;Skylab 4;Skylab 4	84.05	58460154	15:17	
GIBSON, Robert L. 'Hoot'	USA	Male	1946-10-30	36.18	3125941	0	5	0	1984-02-03T13:00Z	0.001127	37		STS-41-B;STS-41-B;STS-41-B;STS-61-C;STS-61-C;STS-61-C;STS-27;STS-27;STS-27;STS-47;STS-47;STS-47;STS-71;STS-71;STS-71;STS-71	9.81	25163825	00:00	
GIDZENKO, Yuri Pavlovich	URS	Male	1962-03-26	179.07	15471706	18240	5	1	1995-09-03T09:00:23Z	0.005578	33		Soyuz TM-22;Soyuz TM-22;Soyuz TM-22;Soyuz TM-31;Soyuz TM-31;Soyuz TM-31;STS-102;STS-102;STS-102;Soyuz TM-34;Soyuz TM-34;Soyuz TM-34;Soyuz TM-33;Soyuz TM-33;Soyuz TM-33;Soyuz TM-33	179.07	124547233	05:04	
GIVENS, Edward G. Jr.	USA	Male	1930-01-05	0.00	0	0	0	0		0.000000	0		Soyuz TM-33	0.00	0	00:00	
GLAZKOV, Yuri Nikolayevich	URS	Male	1939-10-02	17.73	1531680	0	1	0	1977-02-07T16:11Z	0.000552	37		Soyuz 24;Soyuz 24;Soyuz 24;Soyuz 24	17.73	12330024	00:00	
GLENN, John H., Jr.	USA	Male	1921-07-18	9.11	787250	0	2	0	1962-02-20T14:47:39Z	0.000284	40		Mercury-Atlas 6;Mercury-Atlas 6;Mercury-Atlas 6;STS-95;STS-95;STS-95;STS-95	8.91	6337362	00:00	
GODWIN, Linda M.	USA	Female	1952-07-02	38.26	3305785	36840	4	1	1991-04-05T14:22:45Z	0.001192	38		STS-37;STS-37;STS-37;STS-59;STS-59;STS-59;STS-76;STS-76;STS-76;STS-108;STS-108;STS-108;STS-108	11.82	26611569	10:14	
